tm,Q1,T1,Tsp1
0.0,0.0,23.799,25.0
1.0009050369262695,12.250417389869694,23.799,25.0
1.9919381141662598,12.48846353502274,23.799,25.0
2.992854118347168,12.728883559226995,23.799,25.0
3.9838640689849854,12.966924149370199,23.799,25.0
4.984778165817261,13.207343715429312,23.799,25.0
5.975812911987305,13.445390261459357,23.799,25.0
6.976700067520142,13.685803356218344,23.799,25.0
7.967761993408203,13.923856430816656,23.799,25.0
8.968631029129028,14.1642651731968,23.799,25.0
9.959716081619263,14.402323802804954,23.799,25.0
10.960556030273438,14.642725558471685,23.799,25.0
11.95161509513855,14.880777945852287,23.799,25.0
12.952207088470459,15.12112014265061,23.799,25.0
13.943540096282959,15.359238331127173,23.799,25.0
14.944127082824707,15.599579325294501,23.799,25.0
15.935487031936646,15.83770398507119,23.799,25.0
16.936068296432495,14.78560795778472,23.863,25.0
17.927425146102905,14.98125065014874,23.896,25.0
18.92800498008728,12.283770105448784,24.057,25.0
19.919372081756592,12.781546282667477,24.121,25.0
20.91994595527649,13.603020337152497,24.121,25.0
21.911321878433228,13.777304224443451,24.121,25.0
22.911945104599,13.953213787603394,24.121,25.0
23.903257846832275,14.127486567688004,24.121,25.0
24.903886079788208,14.303397011041657,24.121,25.0
25.894546031951904,14.477555030632036,24.121,25.0
26.895937204360962,12.695520172541741,24.218,25.0
27.886475086212158,12.520300246579115,24.282,25.0
28.887874126434326,10.70618089724845,24.411,25.0
29.878416061401367,100.0,24.443,42.0
30.87983012199402,100.0,24.443,42.0
31.870723247528076,100.0,24.443,42.0
32.87176203727722,100.0,24.443,42.0
33.86281704902649,100.0,24.476,42.0
34.86370587348938,100.0,24.637,42.0
35.85475206375122,100.0,24.766,42.0
36.855644941329956,100.0,24.766,42.0
37.84669494628906,100.0,24.927,42.0
38.847573041915894,100.0,25.088,42.0
39.83867025375366,100.0,25.249,42.0
40.839508056640625,100.0,25.41,42.0
41.830613136291504,100.0,25.7,42.0
42.83145189285278,100.0,25.732,42.0
43.82254123687744,100.0,26.055,42.0
44.82339787483215,100.0,26.377,42.0
45.8144850730896,100.0,26.603,42.0
46.81534290313721,100.0,26.731,42.0
47.80641508102417,100.0,27.021,42.0
48.80764818191528,100.0,27.344,42.0
49.79834508895874,100.0,27.666,42.0
50.79958891868591,100.0,27.988,42.0
51.790274143218994,100.0,28.311,42.0
52.79151916503906,100.0,28.633,42.0
53.78222107887268,100.0,28.955,42.0
54.783448219299316,100.0,29.277,42.0
55.77416515350342,100.0,29.6,42.0
56.77539801597595,100.0,29.922,42.0
57.76609015464783,100.0,30.244,42.0
58.767330169677734,100.0,30.566,42.0
